company_name,rating,reviews,company_type,locations
TCS,3.3,(1.1L),IT Services & Consulting,Bangalore / Bengaluru +439 other locations
Accenture,3.7,(71.2k),IT Services & Consulting,Bangalore / Bengaluru +255 other locations
Wipro,3.6,(63.4k),IT Services & Consulting,Hyderabad / Secunderabad +370 other locations
Cognizant,3.6,(59.8k),IT Services & Consulting,Hyderabad / Secunderabad +229 other locations
Capgemini,3.7,(51.6k),IT Services & Consulting,Bangalore / Bengaluru +184 other locations
HDFC Bank,3.8,(50.7k),Banking,Mumbai +1821 other locations
Infosys,3.5,(47.2k),IT Services & Consulting,Bangalore / Bengaluru +246 other locations
ICICI Bank,4.0,(45.2k),Banking,Mumbai +1438 other locations
HCLTech,3.4,(44.5k),IT Services & Consulting,Chennai +226 other locations
Tech Mahindra,3.4,(42.3k),IT Services & Consulting,Hyderabad / Secunderabad +331 other locations
Genpact,3.6,(40.8k),IT Services & Consulting,Hyderabad / Secunderabad +182 other locations
Teleperformance,3.8,(36.5k),BPO,Mumbai +254 other locations
Axis Bank,3.6,(32.3k),Banking,Mumbai +1499 other locations
Jio,4.4,(32.2k),Telecom,Mumbai +1895 other locations
Concentrix Corporation,3.6,(31.5k),BPO,Bangalore / Bengaluru +177 other locations
Amazon,3.9,(30.8k),Internet,Bangalore / Bengaluru +518 other locations
iEnergizer,4.6,(27.1k),BPO,Noida +51 other locations
Reliance Retail,3.9,(26.9k),Retail,Mumbai +1153 other locations
LTIMindtree,3.6,(25.8k),IT Services & Consulting,Bangalore / Bengaluru +146 other locations
IBM,3.9,(25.3k),IT Services & Consulting,Bangalore / Bengaluru +160 other locations
HDB Financial Services,3.9,(25.1k),NBFC,Mumbai +1090 other locations
Larsen & Toubro Limited,3.9,(23.2k),Engineering & Construction,Chennai +753 other locations
Deloitte,3.7,(22.3k),Management Consulting,Hyderabad / Secunderabad +187 other locations
Kotak Mahindra Bank,3.6,(21.9k),Banking,Mumbai +681 other locations
Reliance Industries,4.0,(19.8k),Oil & Gas,Jamnagar +814 other locations
Vodafone Idea,3.9,(17.5k),Telecom,Pune +704 other locations
Bharti Airtel,3.8,(16.8k),Telecom,Gurgaon / Gurugram +790 other locations
BYJU'S,3.2,(16.5k),EdTech,Bangalore / Bengaluru +321 other locations
WNS,3.3,(14.8k),IT Services & Consulting,Pune +65 other locations
Tata Motors,4.1,(14k),Automobile,Pune +506 other locations
IDFC FIRST Bank,3.9,(14k),Banking,Mumbai +712 other locations
Ernst & Young,3.4,(13.9k),Management Consulting,Bangalore / Bengaluru +132 other locations
IndusInd Bank,3.4,(13.8k),Banking,Mumbai +788 other locations
AU Small Finance Bank,3.9,(13.8k),Banking,Jaipur +783 other locations
Bajaj Finserv,3.9,(12.6k),NBFC,Pune +1163 other locations
Flipkart,3.9,(12.6k),Internet,Bangalore / Bengaluru +558 other locations
Muthoot FinCorp,4.5,(12k),NBFC,Bangalore / Bengaluru +1090 other locations
PwC,3.3,(12k),Management Consulting,Bangalore / Bengaluru +132 other locations
Mahindra & Mahindra,4.0,(11.8k),Automobile,Pune +562 other locations
DXC Technology,3.6,(11.8k),IT Services & Consulting,Bangalore / Bengaluru +133 other locations
Infosys BPM,3.5,(11.7k),BPO,Bangalore / Bengaluru +95 other locations
HDFC Life,3.9,(11.7k),Insurance,Mumbai +698 other locations
Bandhan Bank,3.7,(10.7k),Banking,Kolkata +994 other locations
Conneqt Business Solutions,3.6,(10.1k),BPO,Hyderabad / Secunderabad +266 other locations
Mphasis,3.3,(10k),IT Services & Consulting,Bangalore / Bengaluru +63 other locations
Yes Bank,3.7,(9.9k),Banking,Mumbai +540 other locations
Tata Steel,4.0,(9.7k),Iron & Steel,Jamshedpur +229 other locations
Quess,3.8,(9.5k),Recruitment,Bangalore / Bengaluru +741 other locations
Startek,3.1,(9.3k),BPO,Bangalore / Bengaluru +105 other locations
Maruti Suzuki,4.2,(9.3k),Automobile,Gurgaon / Gurugram +449 other locations
Asian Paints,4.0,(9.3k),Chemicals,Mumbai +548 other locations
UltraTech Cement,4.1,(9.2k),Building Material,Mumbai +534 other locations
Paytm,3.2,(9.1k),FinTech,Noida +418 other locations
Shriram Finance,4.0,(9k),NBFC,Chennai +1111 other locations
Bajaj Finance,3.9,(8.9k),NBFC,Pune +969 other locations
Equitas Small Finance Bank,4.4,(8.7k),Banking,Chennai +479 other locations
Sutherland Global Services,3.4,(8.7k),BPO,Chennai +82 other locations
EXL Service,3.6,(8.5k),Analytics & KPO,Noida +63 other locations
Cipla,4.1,(8.4k),Pharma,Mumbai +291 other locations
Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +579 other locations
Ericsson,4.0,(8.3k),Telecom,Noida +162 other locations
Wells Fargo,3.7,(8.2k),Financial Services,Bangalore / Bengaluru +28 other locations
Dr. Reddy's,4.0,(8.1k),Pharma,Hyderabad / Secunderabad +214 other locations
Optum Global Solutions,4.0,(7.7k),IT Services & Consulting,Hyderabad / Secunderabad +68 other locations
Delhivery,3.8,(7.6k),Logistics,Gurgaon / Gurugram +753 other locations
