enrollee_id,Has relevent experience,No relevent experience
1,,Male
2,,Male
4,,Male
5,Male,
7,Male,
8,,Female
9,Male,
10,Female,
11,Male,
13,Male,
17,0,
18,,Male
19,0,
20,,Male
21,Male,
25,Male,
32,Male,
33,Male,
35,Male,
36,,Male
39,0,
41,Male,
44,Male,
45,Male,
46,0,
47,0,
48,0,
49,Male,
50,Male,
52,0,
53,,0
54,Male,
55,Male,
58,Male,
62,,0
64,Male,
65,Female,
67,0,
69,Male,
70,Male,
71,Male,
72,Male,
73,Male,
74,Male,
75,,Male
77,,Male
79,Male,
81,,Male
83,0,
84,Other,
85,Male,
86,Male,
87,Male,
89,,0
98,,0
99,,Male
101,Male,
102,Male,
103,Male,
105,Male,
106,,Male
107,,Male
109,Male,
110,0,
111,Male,
114,Male,
116,0,
117,0,
118,Male,
119,Male,
121,Male,
122,,Male
124,Male,
125,0,
126,0,
130,Male,
132,Male,
133,,0
134,Male,
135,Male,
138,Male,
140,Male,
141,Male,
142,Male,
143,Male,
148,0,
154,Male,
155,,0
156,Male,
157,Male,
158,Male,
162,Male,
163,0,
164,0,
169,0,
170,,Male
173,Male,
174,,Male
177,Male,
178,Male,
179,Female,
182,Male,
186,,Male
188,0,
189,0,
190,Male,
191,Male,
198,Male,
200,Male,
201,Male,
202,,Male
204,Male,
208,Male,
211,Male,
213,Female,
214,Male,
215,0,
218,0,
219,Male,
220,Male,
221,,Male
223,0,
225,0,
227,Male,
229,,Male
231,Male,
235,,0
236,Male,
238,0,
239,,Male
240,,Male
241,Male,
245,Male,
246,Male,
248,Male,
251,Male,
252,Male,
257,Male,
258,,0
262,,Male
264,,0
265,Male,
269,Other,
270,,Male
272,,Male
273,,Male
276,,Male
277,Male,
278,Male,
280,Male,
281,Male,
284,,Male
285,Male,
287,0,
289,0,
293,Male,
294,Male,
295,,Male
297,0,
299,Male,
300,Male,
302,Male,
306,,Male
307,Male,
308,Male,
309,,0
311,,Male
312,Male,
313,Male,
315,,Male
316,Male,
317,Male,
320,Male,
321,,0
324,Male,
325,,Male
327,,0
328,,Male
332,,Male
334,Male,
336,Male,
337,,Male
338,Male,
339,0,
343,Male,
345,Male,
346,Male,
347,Male,
348,Female,
349,Male,
351,,Male
352,Male,
356,Male,
359,Male,
361,Male,
363,Male,
364,Male,
365,Female,
372,,Male
373,Male,
374,Male,
375,Male,
378,Male,
380,Male,
381,0,
382,,Male
384,,Male
385,,0
386,Male,
388,Male,
389,Male,
390,Male,
391,0,
396,Male,
397,0,
399,Male,
400,Male,
401,Male,
402,Male,
403,,0
405,Male,
410,Male,
411,Male,
413,0,
414,Male,
417,Male,
418,0,
419,Male,
420,,Male
421,Male,
422,,0
425,Male,
428,Male,
430,0,
431,0,
433,,Male
436,,0
438,Male,
440,Male,
441,,Male
442,Male,
443,,0
444,Male,
445,Female,
446,,0
447,Male,
448,,Male
450,0,
451,Male,
452,Male,
453,Male,
455,Male,
458,Male,
459,Male,
460,,Male
461,Male,
463,Male,
465,Male,
